Substance,Sector,EDGAR Country Code,country,Year,co2_mt,co2_emissions_g
CO2,Buildings,BRN,Brunei,1970,0.01807222077,18072220770
CO2,Buildings,BRN,Brunei,1971,0.01807222077,18072220770
CO2,Buildings,BRN,Brunei,1972,0.01807222077,18072220770
CO2,Buildings,BRN,Brunei,1973,0.01807222077,18072220770
CO2,Buildings,BRN,Brunei,1974,0.01807222077,18072220770
CO2,Buildings,BRN,Brunei,1975,0.01807222077,18072220770
CO2,Buildings,BRN,Brunei,1976,0.01807222077,18072220770
CO2,Buildings,BRN,Brunei,1977,0.01807222077,18072220770
CO2,Buildings,BRN,Brunei,1978,0.01807222077,18072220770
CO2,Buildings,BRN,Brunei,1979,0.01807222077,18072220770
CO2,Buildings,BRN,Brunei,1980,0.02769778854,27697788540
CO2,Buildings,BRN,Brunei,1981,0.02747378868,27473788680
CO2,Buildings,BRN,Brunei,1982,0.03681647808,36816478080
CO2,Buildings,BRN,Brunei,1983,0.03681647808,36816478080
CO2,Buildings,BRN,Brunei,1984,0.03659247822,36592478220
CO2,Buildings,BRN,Brunei,1985,0.04278578856,42785788560
CO2,Buildings,BRN,Brunei,1986,0.0364278806,36427880600
CO2,Buildings,BRN,Brunei,1987,0.0364278806,36427880600
CO2,Buildings,BRN,Brunei,1988,0.04262091961,42620919610
CO2,Buildings,BRN,Brunei,1989,0.04262091961,42620919610
CO2,Buildings,BRN,Brunei,1990,0.04577030498,45770304980
CO2,Buildings,BRN,Brunei,1991,0.04560570736,45605707360
CO2,Buildings,BRN,Brunei,1992,0.05179874527,51798745270
CO2,Buildings,BRN,Brunei,1993,0.05799179059,57991790590
CO2,Buildings,BRN,Brunei,1994,0.0641259574,64125957400
CO2,Buildings,BRN,Brunei,1995,0.05726118493,57261184930
CO2,Buildings,BRN,Brunei,1996,0.06024570766,60245707660
CO2,Buildings,BRN,Brunei,1997,0.06964726926,69647269260
CO2,Buildings,BRN,Brunei,1998,0.06030484488,60304844880
CO2,Buildings,BRN,Brunei,1999,0.06030484488,60304844880
CO2,Buildings,BRN,Brunei,2000,0.06008083871,60080838710
CO2,Buildings,BRN,Brunei,2001,0.05985710387,59857103870
