entity,code,year,electricity_demand_t_wh,electricity_generation_t_wh
Cambodia,KHM,2000,0.47,0.47
Cambodia,KHM,2001,0.51,0.51
Cambodia,KHM,2002,0.7,0.69
Cambodia,KHM,2003,0.72,0.71
Cambodia,KHM,2004,0.78,0.76
Cambodia,KHM,2005,0.93,0.9
Cambodia,KHM,2006,1.16,1.11
Cambodia,KHM,2007,1.51,1.41
Cambodia,KHM,2008,1.67,1.39
Cambodia,KHM,2009,1.9,1.17
Cambodia,KHM,2010,2.48,0.93
Cambodia,KHM,2011,2.82,0.99
Cambodia,KHM,2012,3.48,1.37
Cambodia,KHM,2013,4.01,1.73
Cambodia,KHM,2014,4.79,2.99
Cambodia,KHM,2015,5.81,4.26
Cambodia,KHM,2016,7.01,5.43
Cambodia,KHM,2017,8.21,6.77
Cambodia,KHM,2018,9.53,7.96
Cambodia,KHM,2019,11.51,8.45
Cambodia,KHM,2020,12.27,8.45
Cambodia,KHM,2021,12.3,8.69
Indonesia,IDN,2000,98.04,98.04
Indonesia,IDN,2001,106.16,106.16
Indonesia,IDN,2002,113.04,113.04
Indonesia,IDN,2003,117.39,117.39
Indonesia,IDN,2004,124.78,124.78
Indonesia,IDN,2005,132.89,132.89
Indonesia,IDN,2006,138,138
Indonesia,IDN,2007,148.4,148.4
Indonesia,IDN,2008,155.9,155.9
Indonesia,IDN,2009,162.87,162.87
Indonesia,IDN,2010,177.56,177.56
Indonesia,IDN,2011,191.88,191.88
Indonesia,IDN,2012,208.96,208.96
Indonesia,IDN,2013,225.18,225.18
Indonesia,IDN,2014,237.55,237.54
Indonesia,IDN,2015,243.29,243.28
Indonesia,IDN,2016,258.24,257.55
Indonesia,IDN,2017,266.93,265.81
Indonesia,IDN,2018,285.29,283.79
Indonesia,IDN,2019,297.12,295.44
Indonesia,IDN,2020,293.37,291.82
Indonesia,IDN,2021,310.33,309.36
Indonesia,IDN,2022,334.51,333.54
Laos,LAO,2000,0.8,3.63
Laos,LAO,2001,0.97,3.65
Laos,LAO,2002,1.01,3.55
Laos,LAO,2003,1.1,3.13
Laos,LAO,2004,0.83,3
Laos,LAO,2005,1.31,3.51
Laos,LAO,2006,1.74,3.6
Laos,LAO,2007,1.93,3.37
Laos,LAO,2008,2.25,3.72
Laos,LAO,2009,2.63,3.37
Laos,LAO,2010,2.92,8.36
Laos,LAO,2011,3.07,12.84
Laos,LAO,2012,3.9,12.93
Laos,LAO,2013,4.14,15.36
Laos,LAO,2014,4.75,15.13
Laos,LAO,2015,6.53,16.03
Laos,LAO,2016,6.23,25.02
Laos,LAO,2017,6,30.4
Laos,LAO,2018,6.78,33.69
Laos,LAO,2019,7.78,30.55
Laos,LAO,2020,9.91,39.28
Laos,LAO,2021,8.82,39.97
Malaysia,MYS,2000,69.88,69.9
Malaysia,MYS,2001,75.69,75.78
Malaysia,MYS,2002,80.8,80.87
Malaysia,MYS,2003,83.21,83.31
Malaysia,MYS,2004,96.11,96.06
Malaysia,MYS,2005,96.52,98.75
Malaysia,MYS,2006,101.67,103.99
Malaysia,MYS,2007,106.29,108.55
Malaysia,MYS,2008,113.35,113.83
Malaysia,MYS,2009,116.02,116.11
Malaysia,MYS,2010,124.89,125.04
Malaysia,MYS,2011,127.43,127.07
Malaysia,MYS,2012,134.17,134.08
Malaysia,MYS,2013,141.16,140.97
Malaysia,MYS,2014,147.48,147.47
Malaysia,MYS,2015,150.12,150.11
Malaysia,MYS,2016,155.99,156.65
Malaysia,MYS,2017,159.52,160.64
Malaysia,MYS,2018,169.09,170.58
Malaysia,MYS,2019,176.84,178.5
Malaysia,MYS,2020,167.95,169.61
Malaysia,MYS,2021,172.92,174.57
Malaysia,MYS,2022,179.44,181.09
Myanmar,MMR,2000,4.9,4.9
Myanmar,MMR,2001,4.49,4.49
