Country,Region_Grid,Publisher,Data_Vintage,Method,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Applicability_Wind_Solar,Applicability_Other,Crediting_Period_1,Crediting_Period_2,Crediting_Period_3,Notes,Sources,URLs
Cambodia,Nationwide,Government,NA,OM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Institute for Global Environmental Strategies and National Council for Sustainable Development, Cambodia (2016)","Grid Emission Factors in Cambodia (Updated March 2016)                                                                                              https://iges.or.jp/en/pub/grid-emission-factors-cambodia-2010-2012

Ministry of Environment Cambodia (2011)
http://www.camclimate.org.kh/index.php?page=searchdocument&docid=b53"
Cambodia,Nationwide,NA,NA,BM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.53380000000000005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cambodia,Kampot-Sihanouk,NA,NA,OM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cambodia,Kampot-Sihanouk,NA,NA,BM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69420000000000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cambodia,Kampong Cham,NA,NA,OM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72389999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cambodia,Phnom Penh,NA,NA,OM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.62570000000000003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cambodia,Phnom Penh,NA,NA,BM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68779999999999997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cambodia,Phnom Penh,NA,NA,CM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.64129999999999998,NA,NA,NA,NA,y,n,y,y,y,NA,NA,NA
Cambodia,Phnom Penh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65680000000000005,NA,NA,NA,NA,n,y,y,n,n,NA,NA,NA
Cambodia,Phnom Penh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67230000000000001,NA,NA,NA,NA,n,y,n,y,y,NA,NA,NA
