country_or_area,iso_code,data_source_category,reference_date_dd_mm_yyyy,average_household_size_number_of_members,x1_member,x2_3_members,x4_5_members,x6_or_more_members,female_head_of_household_percentage_of_households,under_20_years_aged_0_19_11,aged_20_64_years,aged_60_years_or_over_13,aged_65_years_or_over_14,under_15_years_aged_0_14,under_18_years_aged_0_17,under_20_years_aged_0_19_17,aged_60_years_or_over_18,aged_65_years_or_over_19,under_15_years_and_60_years_or_over,under_15_years_and_65_years_or_over,under_18_years_and_60_years_or_over,under_18_years_and_65_years_or_over,under_20_years_and_60_years_or_over,under_20_years_and_65_years_or_over,under_age_15_years_among_all_households,under_age_15_years_among_households_with_at_least_one_member_under_age_15_years,under_age_20_years_among_all_households,under_age_20_years_among_households_with_at_least_one_member_under_age_20_years,ages_20_64_years_among_all_households,one_person,couple_only,couple_with_children,single_parent_with_children,single_mother_with_children,single_father_with_children,extended_family,non_relatives,unknown,nuclear,multi_generation,three_generation,skip_generation,x44,x45
Brunei Darussalam,96,DYB,40550,..,7.22,19.82,28.98,43.98,14.56,7.0000000000000007E-2,88.66,18.190000000000001,11.27,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.22,..,..,..,..,..,..,..,..,..,..,..,..,NA,NA
Cambodia,116,IPUMS,35802,5.17,2.57,22.52,33.89,41.02,25.65,1.1299999999999999,91.2,13.05,7.68,83.24,87.65,90.07,22.12,15.2,15.08,10.43,16.68,11.37,17.559999999999999,11.89,2.2400000000000002,2.7,2.84,3.15,2.15,2.57,3.8,49.99,12.17,10.83,1.34,29.83,1.62,0,65.97,25.31,12.54,1.65,NA,NA
Cambodia,116,DHS,16/04/2000,5.37,1.87,18.059999999999999,35.590000000000003,44.48,25.41,0.21,89.86,16.440000000000001,9.94,84.49,88.77,91.13,24.35,16.41,16.37,11.12,18.079999999999998,12.02,19.2,12.64,2.2599999999999998,2.68,2.91,3.2,2.2599999999999998,1.87,2.2999999999999998,53.66,9.32,8.36,0.97,31.38,1.36,0.12,65.28,36.79,19.64,1.77,NA,NA
Cambodia,116,IPUMS,37993,4.88,2.72,25.13,36.590000000000003,35.56,29.22,1.1299999999999999,90.29,14.42,8.58,79.680000000000007,85.34,88.11,23.27,16.09,14.59,10.23,16.5,11.37,17.43,11.89,1.88,2.36,2.4500000000000002,2.78,2.2400000000000002,2.72,4.16,49.9,11.74,10.47,1.27,30.32,1.1499999999999999,0,65.81,36.21,17.53,2.2000000000000002,NA,NA
Cambodia,116,DHS,38545,4.96,2.95,22.1,38.56,36.39,23.52,0.24,88.41,17.850000000000001,11.35,79.680000000000007,85.07,87.94,26.64,19.100000000000001,17.03,12.21,18.940000000000001,13.39,20.14,14.19,1.87,2.34,2.44,2.77,2.2999999999999998,2.95,3.55,49.88,8.2799999999999994,7.18,1.1100000000000001,33.450000000000003,1.83,0.06,61.71,38.71,21.57,2.72,NA,NA
Cambodia,116,DYB,39454,..,..,..,..,..,25.7,1.04,89.47,15.17,9.49,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA,NA
Cambodia,116,IPUMS,39454,4.68,3.55,26.81,38.86,30.78,25.52,0.97,89.41,15.36,9.6199999999999992,74.709999999999994,81.260000000000005,85.03,23.61,16.71,13.77,9.89,15.57,11.04,16.760000000000002,11.72,1.6,2.14,2.15,2.5299999999999998,2.3199999999999998,3.55,4.67,50.91,10.08,8.7100000000000009,1.38,29.32,1.46,0,65.67,34.71,15.42,2.14,NA,NA
Cambodia,116,DHS,21/10/2010,4.75,2.83,24.01,42.28,30.88,27.06,0.27,88.39,18.350000000000001,11.33,75.900000000000006,82.63,86.15,27.49,19.07,17.52,12.31,19.32,13.52,20.440000000000001,14.19,1.59,2.09,2.11,2.4500000000000002,2.41,2.83,3.74,48.2,7.3,6.21,1.1000000000000001,36.39,1.52,0.01,59.24,41.92,23.54,3.23,NA,NA
Cambodia,116,IPUMS,41281,4.6399999999999997,2.71,25.43,43.12,28.74,27.08,0.59,87.93,18.739999999999998,11.48,70.239999999999995,77.069999999999993,81.64,26.92,18.579999999999998,14.15,10,15.83,11.1,17.309999999999999,11.97,1.37,1.95,1.86,2.2799999999999998,2.5499999999999998,2.71,4.6500000000000004,52.54,8.15,7.27,0.87,31.42,0.53,0,65.34,46.23,20.010000000000002,2.2000000000000002,NA,NA
Cambodia,116,DHS,41648,4.6100000000000003,3.37,25.65,43.08,27.9,26.85,0.33,86.88,20.38,12.78,75.62,80.88,83.68,29.43,20.36,18.38,12.77,19.87,13.7,20.8,14.28,1.53,2.0299999999999998,1.94,2.3199999999999998,2.42,3.37,4.84,45.13,6,4.93,1.07,39.549999999999997,1.1000000000000001,0,55.98,42.36,26.18,4.17,NA,NA
