Substance,Sector,EDGAR Country Code,Country,Year,CO2_Emissions
CO2,Buildings,KHM,Cambodia,1970,0.091877830235762
CO2,Buildings,KHM,Cambodia,1971,0.091877830235762
CO2,Buildings,KHM,Cambodia,1972,0.080355692079847
CO2,Buildings,KHM,Cambodia,1973,0.10666896885362
CO2,Buildings,KHM,Cambodia,1974,0.15111907675604
CO2,Buildings,KHM,Cambodia,1975,0.091062801383884
CO2,Buildings,KHM,Cambodia,1976,0.087114864976692
CO2,Buildings,KHM,Cambodia,1977,0.051353151168779
CO2,Buildings,KHM,Cambodia,1978,0.072425860291529
CO2,Buildings,KHM,Cambodia,1979,0.072947913029907
CO2,Buildings,KHM,Cambodia,1980,0.091548105514543
CO2,Buildings,KHM,Cambodia,1981,0.075825234017494
CO2,Buildings,KHM,Cambodia,1982,0.082194227904827
CO2,Buildings,KHM,Cambodia,1983,0.094675128889142
CO2,Buildings,KHM,Cambodia,1984,0.079987822982632
CO2,Buildings,KHM,Cambodia,1985,0.07898722090141
CO2,Buildings,KHM,Cambodia,1986,0.05847806941849
CO2,Buildings,KHM,Cambodia,1987,0.075297634639673
CO2,Buildings,KHM,Cambodia,1988,0.08888233899967
CO2,Buildings,KHM,Cambodia,1989,0.10423258052046
CO2,Buildings,KHM,Cambodia,1990,0.042828960689196
CO2,Buildings,KHM,Cambodia,1991,0.045115240409261
CO2,Buildings,KHM,Cambodia,1992,0.050305482897275
CO2,Buildings,KHM,Cambodia,1993,0.049982101000595
CO2,Buildings,KHM,Cambodia,1994,0.050431962886044
CO2,Buildings,KHM,Cambodia,1995,0.12274402095
CO2,Buildings,KHM,Cambodia,1996,0.1258100167
CO2,Buildings,KHM,Cambodia,1997,0.13194201539
CO2,Buildings,KHM,Cambodia,1998,0.12003730607
CO2,Buildings,KHM,Cambodia,1999,0.14461701208
CO2,Buildings,KHM,Cambodia,2000,0.19398176375
CO2,Buildings,KHM,Cambodia,2001,0.13884456647
CO2,Buildings,KHM,Cambodia,2002,0.21564938458
CO2,Buildings,KHM,Cambodia,2003,0.32612940815
CO2,Buildings,KHM,Cambodia,2004,0.2375223829
CO2,Buildings,KHM,Cambodia,2005,0.25602149861
CO2,Buildings,KHM,Cambodia,2006,0.27452031234
CO2,Buildings,KHM,Cambodia,2007,0.24769626307
CO2,Buildings,KHM,Cambodia,2008,0.23958235423
CO2,Buildings,KHM,Cambodia,2009,0.50513706946
CO2,Buildings,KHM,Cambodia,2010,0.28048048988
CO2,Buildings,KHM,Cambodia,2011,0.23781291899
CO2,Buildings,KHM,Cambodia,2012,0.32418300593
CO2,Buildings,KHM,Cambodia,2013,0.50276699833
CO2,Buildings,KHM,Cambodia,2014,0.70084140036
CO2,Buildings,KHM,Cambodia,2015,0.90580478842
CO2,Buildings,KHM,Cambodia,2016,1.03910958288
CO2,Buildings,KHM,Cambodia,2017,1.10640952089
CO2,Buildings,KHM,Cambodia,2018,0.92175305903
CO2,Buildings,KHM,Cambodia,2019,1.15676694366
CO2,Buildings,KHM,Cambodia,2020,1.19379944075
CO2,Buildings,KHM,Cambodia,2021,1.21964986915
CO2,Buildings,KHM,Cambodia,2022,1.2792743141625
CO2,Buildings,KHM,Cambodia,2023,1.3139236364439
CO2,Fuel Exploitation,KHM,Cambodia,1970,6.6072170901783e-10
CO2,Fuel Exploitation,KHM,Cambodia,1971,6.6072170901783e-10
CO2,Fuel Exploitation,KHM,Cambodia,1972,6.6073738041341e-11
CO2,Fuel Exploitation,KHM,Cambodia,1973,7.9287858793786e-11
CO2,Fuel Exploitation,KHM,Cambodia,1974,5.285648300978e-11
CO2,Fuel Exploitation,KHM,Cambodia,1975,7.9287858793786e-11
CO2,Fuel Exploitation,KHM,Cambodia,1976,5.285648300978e-11
CO2,Fuel Exploitation,KHM,Cambodia,1977,6.6073738041341e-11
CO2,Fuel Exploitation,KHM,Cambodia,1978,7.9287858793786e-11
CO2,Fuel Exploitation,KHM,Cambodia,1979,7.9287858793786e-11
CO2,Fuel Exploitation,KHM,Cambodia,1980,NA
CO2,Fuel Exploitation,KHM,Cambodia,1981,NA
CO2,Fuel Exploitation,KHM,Cambodia,1982,NA
CO2,Fuel Exploitation,KHM,Cambodia,1983,NA
CO2,Fuel Exploitation,KHM,Cambodia,1984,NA
CO2,Fuel Exploitation,KHM,Cambodia,1985,NA
CO2,Fuel Exploitation,KHM,Cambodia,1986,NA
CO2,Fuel Exploitation,KHM,Cambodia,1987,NA
CO2,Fuel Exploitation,KHM,Cambodia,1988,NA
CO2,Fuel Exploitation,KHM,Cambodia,1989,NA
CO2,Fuel Exploitation,KHM,Cambodia,1990,NA
CO2,Fuel Exploitation,KHM,Cambodia,1991,NA
CO2,Fuel Exploitation,KHM,Cambodia,1992,NA
CO2,Fuel Exploitation,KHM,Cambodia,1993,4.4329543259026e-11
CO2,Fuel Exploitation,KHM,Cambodia,1994,NA
CO2,Fuel Exploitation,KHM,Cambodia,1995,NA
CO2,Fuel Exploitation,KHM,Cambodia,1996,NA
CO2,Fuel Exploitation,KHM,Cambodia,1997,NA
CO2,Fuel Exploitation,KHM,Cambodia,1998,NA
CO2,Fuel Exploitation,KHM,Cambodia,1999,NA
CO2,Fuel Exploitation,KHM,Cambodia,2000,NA
CO2,Fuel Exploitation,KHM,Cambodia,2001,NA
CO2,Fuel Exploitation,KHM,Cambodia,2002,NA
CO2,Fuel Exploitation,KHM,Cambodia,2003,NA
CO2,Fuel Exploitation,KHM,Cambodia,2004,NA
CO2,Fuel Exploitation,KHM,Cambodia,2005,NA
