"","PV_SYSTEM_SIZE","TARGET_REDUCTION","country","co2_emissions_g","ef_kgco2_per_kwh","ef_gco2_per_kwh","daily_pv_average","yearly_pv","solar_capacity_factor","annual_pv_electricity_per_home","co2_avoided_per_home","homes_required"
"1",3,0.01,"Brunei",4607671170655.3,NA,NA,3.81,1390.65,0.15875,4171.95,NA,NA
"2",3,0.01,"Cambodia",4543344790472.7,0.58586,585.86,4.09,1492.85,0.170416666666667,4478.55,2623803.303,17315.8741940676
"3",3,0.01,"Indonesia",269898787866100,0.777714754098361,777.714754098361,3.67,1339.55,0.152916666666667,4018.65,3125363.39655738,863575.698632026
"4",3,0.01,"Laos",16285951096238,0.574320952380952,574.320952380952,3.73,1361.45,0.155416666666667,4084.35,2345727.78185714,69428.1374940455
"5",3,0.01,"Malaysia",116864051022130,0.670339024390244,670.339024390244,3.71,1354.15,0.154583333333333,4062.45,2723218.76963415,429139.415184885
"6",3,0.01,"Myanmar",8734783418054.1,0.3948,394.8,4.01,1463.65,0.167083333333333,4390.95,1733547.06,50386.7683756684
"7",3,0.01,"Philippines",82743445385673,0.516001886792453,516.001886792453,3.8,1387,0.158333333333333,4161,2147083.8509434,385375.938388791
"8",3,0.01,"Singapore",20002968096321,0.486233333333333,486.233333333333,3.55,1295.75,0.147916666666667,3887.25,1890110.525,105829.621240382
"9",3,0.01,"Thailand",80124643758684,0.548340384615384,548.340384615384,4.02,1467.3,0.1675,4401.9,2413739.53903846,331952.319058429
"10",3,0.01,"Vietnam",155307569551290,0.602955020161292,602.955020161292,3.44,1255.6,0.143333333333333,3766.8,2271210.96994356,683809.525431932
"11",3,0.05,"Brunei",4607671170655.3,NA,NA,3.81,1390.65,0.15875,4171.95,NA,NA
"12",3,0.05,"Cambodia",4543344790472.7,0.58586,585.86,4.09,1492.85,0.170416666666667,4478.55,2623803.303,86579.3709703379
"13",3,0.05,"Indonesia",269898787866100,0.777714754098361,777.714754098361,3.67,1339.55,0.152916666666667,4018.65,3125363.39655738,4317878.49316013
"14",3,0.05,"Laos",16285951096238,0.574320952380952,574.320952380952,3.73,1361.45,0.155416666666667,4084.35,2345727.78185714,347140.687470227
"15",3,0.05,"Malaysia",116864051022130,0.670339024390244,670.339024390244,3.71,1354.15,0.154583333333333,4062.45,2723218.76963415,2145697.07592442
"16",3,0.05,"Myanmar",8734783418054.1,0.3948,394.8,4.01,1463.65,0.167083333333333,4390.95,1733547.06,251933.841878342
"17",3,0.05,"Philippines",82743445385673,0.516001886792453,516.001886792453,3.8,1387,0.158333333333333,4161,2147083.8509434,1926879.69194396
"18",3,0.05,"Singapore",20002968096321,0.486233333333333,486.233333333333,3.55,1295.75,0.147916666666667,3887.25,1890110.525,529148.106201911
"19",3,0.05,"Thailand",80124643758684,0.548340384615384,548.340384615384,4.02,1467.3,0.1675,4401.9,2413739.53903846,1659761.59529214
"20",3,0.05,"Vietnam",155307569551290,0.602955020161292,602.955020161292,3.44,1255.6,0.143333333333333,3766.8,2271210.96994356,3419047.62715966
"21",3,0.1,"Brunei",4607671170655.3,NA,NA,3.81,1390.65,0.15875,4171.95,NA,NA
"22",3,0.1,"Cambodia",4543344790472.7,0.58586,585.86,4.09,1492.85,0.170416666666667,4478.55,2623803.303,173158.741940676
"23",3,0.1,"Indonesia",269898787866100,0.777714754098361,777.714754098361,3.67,1339.55,0.152916666666667,4018.65,3125363.39655738,8635756.98632026
"24",3,0.1,"Laos",16285951096238,0.574320952380952,574.320952380952,3.73,1361.45,0.155416666666667,4084.35,2345727.78185714,694281.374940455
"25",3,0.1,"Malaysia",116864051022130,0.670339024390244,670.339024390244,3.71,1354.15,0.154583333333333,4062.45,2723218.76963415,4291394.15184885
"26",3,0.1,"Myanmar",8734783418054.1,0.3948,394.8,4.01,1463.65,0.167083333333333,4390.95,1733547.06,503867.683756685
"27",3,0.1,"Philippines",82743445385673,0.516001886792453,516.001886792453,3.8,1387,0.158333333333333,4161,2147083.8509434,3853759.38388791
"28",3,0.1,"Singapore",20002968096321,0.486233333333333,486.233333333333,3.55,1295.75,0.147916666666667,3887.25,1890110.525,1058296.21240382
"29",3,0.1,"Thailand",80124643758684,0.548340384615384,548.340384615384,4.02,1467.3,0.1675,4401.9,2413739.53903846,3319523.19058429
"30",3,0.1,"Vietnam",155307569551290,0.602955020161292,602.955020161292,3.44,1255.6,0.143333333333333,3766.8,2271210.96994356,6838095.25431932
"31",5,0.01,"Brunei",4607671170655.3,NA,NA,3.81,1390.65,0.15875,6953.25,NA,NA
"32",5,0.01,"Cambodia",4543344790472.7,0.58586,585.86,4.09,1492.85,0.170416666666667,7464.25,4373005.505,10389.5245164406
"33",5,0.01,"Indonesia",269898787866100,0.777714754098361,777.714754098361,3.67,1339.55,0.152916666666667,6697.75,5208938.99426229,518145.419179216
"34",5,0.01,"Laos",16285951096238,0.574320952380952,574.320952380952,3.73,1361.45,0.155416666666667,6807.25,3909546.30309524,41656.8824964273
"35",5,0.01,"Malaysia",116864051022130,0.670339024390244,670.339024390244,3.71,1354.15,0.154583333333333,6770.75,4538697.94939025,257483.649110931
"36",5,0.01,"Myanmar",8734783418054.1,0.3948,394.8,4.01,1463.65,0.167083333333333,7318.25,2889245.1,30232.0610254011
"37",5,0.01,"Philippines",82743445385673,0.516001886792453,516.001886792453,3.8,1387,0.158333333333333,6935,3578473.08490566,231225.563033275
"38",5,0.01,"Singapore",20002968096321,0.486233333333333,486.233333333333,3.55,1295.75,0.147916666666667,6478.75,3150184.20833333,63497.7727442293
"39",5,0.01,"Thailand",80124643758684,0.548340384615384,548.340384615384,4.02,1467.3,0.1675,7336.5,4022899.23173077,199171.391435057
"40",5,0.01,"Vietnam",155307569551290,0.602955020161292,602.955020161292,3.44,1255.6,0.143333333333333,6278,3785351.61657259,410285.715259159
"41",5,0.05,"Brunei",4607671170655.3,NA,NA,3.81,1390.65,0.15875,6953.25,NA,NA
"42",5,0.05,"Cambodia",4543344790472.7,0.58586,585.86,4.09,1492.85,0.170416666666667,7464.25,4373005.505,51947.6225822028
"43",5,0.05,"Indonesia",269898787866100,0.777714754098361,777.714754098361,3.67,1339.55,0.152916666666667,6697.75,5208938.99426229,2590727.09589608
"44",5,0.05,"Laos",16285951096238,0.574320952380952,574.320952380952,3.73,1361.45,0.155416666666667,6807.25,3909546.30309524,208284.412482136
"45",5,0.05,"Malaysia",116864051022130,0.670339024390244,670.339024390244,3.71,1354.15,0.154583333333333,6770.75,4538697.94939025,1287418.24555465
"46",5,0.05,"Myanmar",8734783418054.1,0.3948,394.8,4.01,1463.65,0.167083333333333,7318.25,2889245.1,151160.305127005
"47",5,0.05,"Philippines",82743445385673,0.516001886792453,516.001886792453,3.8,1387,0.158333333333333,6935,3578473.08490566,1156127.81516637
"48",5,0.05,"Singapore",20002968096321,0.486233333333333,486.233333333333,3.55,1295.75,0.147916666666667,6478.75,3150184.20833333,317488.863721147
"49",5,0.05,"Thailand",80124643758684,0.548340384615384,548.340384615384,4.02,1467.3,0.1675,7336.5,4022899.23173077,995856.957175287
"50",5,0.05,"Vietnam",155307569551290,0.602955020161292,602.955020161292,3.44,1255.6,0.143333333333333,6278,3785351.61657259,2051428.57629579
"51",5,0.1,"Brunei",4607671170655.3,NA,NA,3.81,1390.65,0.15875,6953.25,NA,NA
"52",5,0.1,"Cambodia",4543344790472.7,0.58586,585.86,4.09,1492.85,0.170416666666667,7464.25,4373005.505,103895.245164406
"53",5,0.1,"Indonesia",269898787866100,0.777714754098361,777.714754098361,3.67,1339.55,0.152916666666667,6697.75,5208938.99426229,5181454.19179216
"54",5,0.1,"Laos",16285951096238,0.574320952380952,574.320952380952,3.73,1361.45,0.155416666666667,6807.25,3909546.30309524,416568.824964273
"55",5,0.1,"Malaysia",116864051022130,0.670339024390244,670.339024390244,3.71,1354.15,0.154583333333333,6770.75,4538697.94939025,2574836.49110931
