Substance,Sector,edgar_country_code,country,year,co2_emissions_tonnes,code,electricity_demand_t_wh,electricity_generation_t_wh,ef_kgco2_per_kwh,ef_gco2_per_kwh,daily_pv_average,yearly_pv,solar_capacity_factor
NA,NA,NA,Brunei,NA,NA,NA,NA,NA,NA,NA,3.81,1390.65,0.15875
CO2,Buildings,KHM,Cambodia,1970,0.091877830235762,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Fuel Exploitation,KHM,Cambodia,1970,6.6072170901783e-10,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Industrial Combustion,KHM,Cambodia,1970,0.0040054943088751,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Power Industry,KHM,Cambodia,1970,0.015523770406063,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Processes,KHM,Cambodia,1970,0.033777296325636,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Transport,KHM,Cambodia,1970,0.065914851403264,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Waste,KHM,Cambodia,1970,0.00209507283711,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Buildings,KHM,Cambodia,1971,0.091877830235762,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Fuel Exploitation,KHM,Cambodia,1971,6.6072170901783e-10,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Industrial Combustion,KHM,Cambodia,1971,0.0040054943088751,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Power Industry,KHM,Cambodia,1971,0.015523770406063,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Processes,KHM,Cambodia,1971,0.036965604149095,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
CO2,Transport,KHM,Cambodia,1971,0.065914851403265,NA,NA,NA,0.58586,585.86,4.09,1492.85,0.17041666666666666
